stratum,feature_family,feature_id,relative_day,n_success,n_control,success_mean,control_mean,success_median,control_median,median_difference,mean_difference,standardized_mean_difference,distribution_overlap,trimmed_mean_difference,outlier_dependence,market_direction_consistency,temporal_direction_consistency,classification,classification_reason,outcome_derived_feature_used
T5_GE_3,TREND_STRUCTURE,ma5_slope_5,-3,6785,6785,-0.027540736636900008,-0.005573310525444447,-0.021197929504560006,-0.008617832283725606,-0.0125800972208344,-0.021967426111455562,-0.4725841880935219,0.8187177597641856,-0.015585836787095908,0.709497631084245,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,ma5_slope_5,-1,6785,6785,-0.03714192375779192,-0.010616273619993573,-0.029000517866390407,-0.011403508771929841,-0.017597009094460568,-0.026525650137798347,-0.556380362937762,0.7534266764922624,-0.020874389764561525,0.7869511079321699,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,ma5_slope_5,0,6785,6785,-0.04318404836668375,-0.015429023424909904,-0.03323558162267838,-0.01448040885860306,-0.01875517276407532,-0.027755024941773843,-0.5495319627857956,0.7859985261606484,-0.02220021537612274,0.7998629229372225,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,ma20_slope_5,-20,6785,6785,0.005458442149284463,0.004295893772207697,0.0007627765064836293,-0.00025490695895992894,0.0010176834654435582,0.0011625483770767659,0.035669388587430156,0.9602063375092114,0.000779651844071313,0.6706403444747406,1.0,0.5,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,TREND_STRUCTURE,ma20_slope_5,-10,6785,6785,0.005264501763376301,0.004429847152422912,-0.00044447736869399415,-8.153281695886764e-05,-0.0003629445517351265,0.0008346546109533892,0.026386178802862807,0.9761238025055267,0.0004584178383172284,0.5492305826880868,1.0,0.5,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,TREND_STRUCTURE,ma20_slope_5,-5,6785,6785,-0.00015596873707006325,0.0030317503011938703,-0.003550505947097386,-0.0014148484622831018,-0.002135657484814284,-0.0031877190382639336,-0.10514924716456522,0.9603537214443624,-0.0024275210979856953,0.7615229161813927,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,ma20_slope_5,-3,6785,6785,-0.004704401298938274,0.001295378693169448,-0.006097101994730917,-0.002336680918763045,-0.003760421075967872,-0.005999779992107722,-0.2083020142296007,0.9212969786293292,-0.004589175766299929,0.7648906747141827,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,ma20_slope_5,-1,6785,6785,-0.009448176930122256,-0.0005988933900346343,-0.009580121248409557,-0.003642987249544514,-0.0059371339988650434,-0.008849283540087622,-0.3172627612833609,0.8897568165070007,-0.0070080836826118716,0.7919379745111524,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,ma20_slope_5,0,6785,6785,-0.01265307654084152,-0.002205672437651928,-0.012205557807503526,-0.004663816556548776,-0.00754174125095475,-0.010447404103189593,-0.37469235861392935,0.8483419307295504,-0.00838460040574424,0.802553469065528,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,ma60_slope_5,-20,6241,6259,0.003928352000643946,0.002076369439835122,-0.00023371766905590019,-0.0012617198546846444,0.0010280021856287442,0.0018519825608088241,0.08909543745236786,0.942995798596088,0.0015181357317738747,0.8197354359054293,1.0,1.0,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,TREND_STRUCTURE,ma60_slope_5,-10,6304,6316,0.0036989478691828274,0.0021677411430889196,-0.00018391022841579118,-0.0010351745013229047,0.0008512642729071135,0.0015312067260939079,0.07580226602031512,0.9462705304070238,0.0013089522190929174,0.8548500974992714,1.0,1.0,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,TREND_STRUCTURE,ma60_slope_5,-5,6390,6405,0.0021737931100021886,0.0022910512875779004,-0.0008012453145054544,-0.0006699544058807363,-0.00013129090862471805,-0.0001172581775757118,-0.006191018219832212,0.9568793452884887,-2.856328624882933e-05,0.24359312791115534,0.0,0.5,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,ma60_slope_5,-3,6395,6409,0.0007992540520774329,0.0019456293662734898,-0.0016418820659567547,-0.0009013585932250796,-0.0007405234727316751,-0.001146375314196057,-0.06267254929307954,0.9506670581867195,-0.0007898177002413327,0.6889695638598298,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,ma60_slope_5,-1,6410,6423,-0.0007239154983103522,0.0014663764717947408,-0.002662672597313581,-0.0012275628784984844,-0.0014351097188150966,-0.002190291970105093,-0.12254210612220516,0.9515645193766648,-0.0016087053232068096,0.7344707213301895,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,ma60_slope_5,0,6578,6586,-0.001853279989813487,0.000812639158622466,-0.0035138714860251394,-0.0017936246512306121,-0.0017202468347945273,-0.002665919148435953,-0.15217684433247275,0.9459606264686871,-0.0019902455800952148,0.7465513653191082,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,ma_alignment_bullish,-20,6785,6785,0.14532056005895358,0.131171702284451,0.0,0.0,0.0,0.014148857774502588,0.04100100559135643,0.9858511422254974,0.017682814514643583,1.24976975501934,1.0,1.0,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,TREND_STRUCTURE,ma_alignment_bullish,-10,6785,6785,0.16005895357406041,0.14767870302137068,0.0,0.0,0.0,0.012380250552689737,0.03431619935382998,0.9876197494473102,0.015472462700313133,1.2497697550193425,1.0,0.5,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,TREND_STRUCTURE,ma_alignment_bullish,-5,6785,6785,0.05173176123802505,0.12453942520265292,0.0,0.0,0.0,-0.07280766396462787,-0.2589684404616373,0.9271923360353721,-0.03076072941609873,0.4224930143486434,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,ma_alignment_bullish,-3,6785,6785,0.05114222549742078,0.11142225497420781,0.0,0.0,0.0,-0.06028002947678703,-0.22194345612795258,0.939719970523213,-0.01436728679314791,0.2383423982677471,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,ma_alignment_bullish,-1,6785,6785,0.03728813559322034,0.10921149594694178,0.0,0.0,0.0,-0.07192336035372143,-0.2787161140548218,0.9280766396462785,-0.01160434702523485,0.16134322657011982,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,ma_alignment_bullish,0,6785,6785,0.014885777450257922,0.08769344141488578,0.0,0.0,0.0,-0.07280766396462786,-0.33465063780053994,0.9271923360353721,0.0,0.0,0.0,0.0,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,ma_alignment_bearish,-20,6785,6785,0.1647752394988946,0.17833456153279292,0.0,0.0,0.0,-0.013559322033898313,-0.035972844699651285,0.9864406779661017,-0.016946030576533433,1.2497697550193398,0.0,0.5,REGIME_CONFOUNDED,market_or_temporal_direction_is_not_consistent,False
T5_GE_3,TREND_STRUCTURE,ma_alignment_bearish,-10,6785,6785,0.16005895357406041,0.16212232866617537,0.0,0.0,0.0,-0.0020633750921149607,-0.005612898893986147,0.997936624907885,-0.0025787437833855176,1.2497697550193376,0.5,0.5,NO_CLEAR_SIGNAL,effect_below_predeclared_discovery_floor,False
T5_GE_3,TREND_STRUCTURE,ma_alignment_bearish,-5,6785,6785,0.2705969049373618,0.20869565217391303,0.0,0.0,0.0,0.061901252763448794,0.14539546087095367,0.9380987472365512,0.07736231350156567,1.2497697550193403,1.0,1.0,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,False
T5_GE_3,TREND_STRUCTURE,ma_alignment_bearish,-3,6785,6785,0.309653647752395,0.22741341193809875,0.0,0.0,0.0,0.08224023581429626,0.18636537546041892,0.9177597641857037,0.10278135936636579,1.2497697550193398,1.0,1.0,PROMISING_DISCOVERY_SIGNAL,bounded_effect_requires_confirmatory_research,False
T5_GE_3,TREND_STRUCTURE,ma_alignment_bearish,-1,6785,6785,0.38437730287398675,0.25541635961680176,0.0,0.0,0.0,0.128960943257185,0.279161669103494,0.871039056742815,0.16117148646159515,1.2497697550193405,1.0,1.0,ROBUST_DISCOVERY_SIGNAL,bounded_effect_and_cross_segment_consistency,False
