feature_family,feature_id,relative_day,horizon,t3_median,t5_median,t10_median,monotonicity,all_outcome_derived_values_evaluation_only
TREND_STRUCTURE,ma20_slope_5,-3,5,-0.006097101994730917,-0.005579171094580143,-0.003744081048342731,NONDECREASING,True
TREND_STRUCTURE,ma20_slope_5,-3,10,-0.004775500661526782,-0.004518551517851512,-0.0033328704346619786,NONDECREASING,True
TREND_STRUCTURE,ma20_slope_5,-1,5,-0.009580121248409557,-0.008399004562422254,-0.005732860520094589,NONDECREASING,True
TREND_STRUCTURE,ma20_slope_5,-1,10,-0.0074018961794398135,-0.006866837215564709,-0.006057852491291923,NONDECREASING,True
TREND_STRUCTURE,ma20_slope_5,0,5,-0.012205557807503526,-0.010733452593917694,-0.007599463567277554,NONDECREASING,True
TREND_STRUCTURE,ma20_slope_5,0,10,-0.009840329728808661,-0.009305858892792744,-0.008260821676396078,NONDECREASING,True
TREND_STRUCTURE,ma60_slope_5,-20,5,-0.00023371766905590019,0.0010483725654004533,0.0046467024225665295,NONDECREASING,True
TREND_STRUCTURE,ma60_slope_5,-20,10,0.0004360341599137633,0.0009451795841210336,0.0032825675051953076,NONDECREASING,True
TREND_STRUCTURE,ma60_slope_5,-10,5,-0.00018391022841579118,0.0010181876285464255,0.004438059202571837,NONDECREASING,True
TREND_STRUCTURE,ma60_slope_5,-10,10,0.0004170346384064761,0.0009323219053270037,0.002942713364984484,NONDECREASING,True
TREND_STRUCTURE,ma60_slope_5,-5,5,-0.0008012453145054544,0.00012137553895555405,0.0036787247087677125,NONDECREASING,True
TREND_STRUCTURE,ma60_slope_5,-5,10,-0.00028825240428706066,0.00014560986264143742,0.0021131597020444745,NONDECREASING,True
TREND_STRUCTURE,ma60_slope_5,-3,5,-0.0016418820659567547,-0.0006197304650774737,0.0030837692247638626,NONDECREASING,True
TREND_STRUCTURE,ma60_slope_5,-3,10,-0.0007969310273787999,-0.0002908913410402142,0.0015621509924510757,NONDECREASING,True
TREND_STRUCTURE,ma60_slope_5,-1,5,-0.002662672597313581,-0.0015744312662819048,0.0019325116116155885,NONDECREASING,True
TREND_STRUCTURE,ma60_slope_5,-1,10,-0.001638920950302809,-0.0011389289999796666,0.0005448477831505223,NONDECREASING,True
TREND_STRUCTURE,ma60_slope_5,0,5,-0.0035138714860251394,-0.002380275685661459,0.0009987349357480524,NONDECREASING,True
TREND_STRUCTURE,ma60_slope_5,0,10,-0.00241834170854279,-0.0017731863387556506,-0.0002802365472764545,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bullish,-20,5,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bullish,-20,10,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bullish,-10,5,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bullish,-10,10,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bullish,-5,5,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bullish,-5,10,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bullish,-3,5,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bullish,-3,10,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bullish,-1,5,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bullish,-1,10,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bullish,0,5,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bullish,0,10,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bearish,-20,5,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bearish,-20,10,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bearish,-10,5,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bearish,-10,10,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bearish,-5,5,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bearish,-5,10,0.0,0.0,0.0,NONDECREASING,True
TREND_STRUCTURE,ma_alignment_bearish,-3,5,0.0,0.0,0.0,NONDECREASING,True
