cohort,lifecycle_stage,horizon,N,instrument_count,matured_count,endpoint_mean,endpoint_median,mfe_mean,mfe_median,mae_mean,mae_median,positive_endpoint_rate,barrier_5_before_minus5_up_first_rate,barrier_5_before_minus5_down_first_rate,barrier_5_before_minus5_same_session_unknown_rate,barrier_10_before_minus5_up_first_rate,barrier_10_before_minus5_down_first_rate,barrier_10_before_minus5_same_session_unknown_rate,baseline_N,conditional_minus_unconditional_endpoint_mean,conditional_minus_unconditional_endpoint_median,conditional_minus_unconditional_mfe_mean,conditional_minus_unconditional_mfe_median,conditional_minus_unconditional_mae_mean,conditional_minus_unconditional_mae_median,comparison_purpose,small_sample_flag
BOTH,FERMENTING,5,26,11,26,0.026829632717563,0.006791171477079828,0.08135732865270871,0.06437768240343346,-0.05836332421443784,-0.04721030042918459,0.6153846153846154,0.5384615384615384,0.3076923076923077,0.0,0.15384615384615385,0.46153846153846156,0.0,188,-0.014512681164366027,-0.009752946169979019,-0.045471017731184046,-0.03511427177514824,-0.005175517909515967,-0.0067181642656268525,CONDITIONAL_INFORMATION_VALUE_ONLY,False
BOTH,MAIN_RISE,5,84,39,81,0.08336146703899462,0.047097480832420595,0.16290155653834407,0.12919463087248317,-0.03959610411014923,-0.02457002457002455,0.7407407407407407,0.6428571428571429,0.2619047619047619,0.09523809523809523,0.5,0.40476190476190477,0.0,188,0.04201915315706559,0.030553363185361747,0.03607321015445131,0.029702676693901475,0.01359170219477264,0.015922111593533184,CONDITIONAL_INFORMATION_VALUE_ONLY,False
BOTH,MATURE,5,28,12,27,-0.018798136479642704,-0.026589595375722544,0.10268817969377171,0.09448818897637795,-0.07985397964813468,-0.06457242582897038,0.2222222222222222,0.6428571428571429,0.35714285714285715,0.0,0.2857142857142857,0.5,0.0,188,-0.06014045036157173,-0.04313371302278139,-0.024140166690121048,-0.005003765202203747,-0.026666173343212807,-0.024080289665412646,CONDITIONAL_INFORMATION_VALUE_ONLY,False
BOTH,DECLINING,5,44,19,42,0.0052898820050804795,0.015642458100558705,0.10812450344142667,0.10570792302440818,-0.06027809740160506,-0.04199459876543209,0.6190476190476191,0.5,0.4090909090909091,0.0,0.4090909090909091,0.45454545454545453,0.0,188,-0.03605243187684855,-0.0009016595465001428,-0.01870384294246609,0.006215968845826481,-0.007090291096683188,-0.001502462601874352,CONDITIONAL_INFORMATION_VALUE_ONLY,False
A2,SPROUTING,10,47,31,46,0.04023972366686042,0.01402872706871694,0.13755536420227388,0.08175105485232059,-0.07382449647636508,-0.07420324278513768,0.5434782608695652,0.48936170212765956,0.3829787234042553,0.06382978723404255,0.2765957446808511,0.5531914893617021,0.0,1036,-0.021502997824131877,-0.007823627503144914,-0.04690766421350265,-0.051140699910733,0.0029063841136068996,-0.008756710151105018,CONDITIONAL_INFORMATION_VALUE_ONLY,False
A2,FERMENTING,10,122,64,118,0.06195755854876767,0.013474373096611147,0.17070354239183014,0.0977476202271842,-0.06437898151966973,-0.051149962751034284,0.5677966101694916,0.6083333333333333,0.325,0.008333333333333333,0.38333333333333336,0.4583333333333333,0.0,1036,0.0002148370577753772,-0.008377981475250706,-0.013759486023946388,-0.0351441345358694,0.01235189907030225,0.014296569882998378,CONDITIONAL_INFORMATION_VALUE_ONLY,False
A2,MAIN_RISE,10,434,225,393,0.07276349298571266,0.032369942196531776,0.20379104739052042,0.15942028985507228,-0.07944821135958852,-0.0746934225195095,0.5674300254452926,0.6067146282973621,0.3237410071942446,0.05275779376498801,0.44364508393285373,0.5179856115107914,0.0,1036,0.011020771494720367,0.010517587624669922,0.0193280189747439,0.02652853509201869,-0.002717330769616541,-0.009246889885476839,CONDITIONAL_INFORMATION_VALUE_ONLY,False
A2,MATURE,10,161,119,153,0.07726818334545515,0.024752475247524774,0.1901370821733026,0.1467780429594272,-0.07743430946556706,-0.06399999999999995,0.5620915032679739,0.5796178343949044,0.33121019108280253,0.05732484076433121,0.4140127388535032,0.5222929936305732,0.0,1036,0.015525461854462859,0.0029001206756629205,0.005674053757526082,0.013886288196373608,-0.0007034288755950885,0.0014465326340327156,CONDITIONAL_INFORMATION_VALUE_ONLY,False
A2,DECLINING,10,272,135,254,0.03913338395530196,0.012731661231040081,0.16602732063101647,0.12579113924050644,-0.07836742448405165,-0.05886851331047499,0.5433070866141733,0.5430711610486891,0.3595505617977528,0.06741573033707865,0.42696629213483145,0.5205992509363296,0.0,1036,-0.022609337535690333,-0.009120693340821773,-0.018435707784760058,-0.007100615522547149,-0.0016365438940796756,0.006578019323557671,CONDITIONAL_INFORMATION_VALUE_ONLY,False
LEGACY5,SPROUTING,10,16,13,16,0.06918388833095555,0.08444408397121791,0.22539000100596795,0.23648318938174012,-0.059438655753814594,-0.052566892554714896,0.6875,,,,,,,474,0.006290086289727104,0.05196622708319769,0.03183155765131715,0.0912722560688238,0.026310867066991338,0.009940618561737453,CONDITIONAL_INFORMATION_VALUE_ONLY,True
LEGACY5,FERMENTING,10,58,34,58,0.07790966218236418,0.026937422295897222,0.17802751634465855,0.11675077403154635,-0.06504567352982822,-0.053449493473602186,0.6896551724137931,,,,,,,474,0.015015860141135734,-0.005540434592123004,-0.015530927009992257,-0.028460159281369968,0.02070384929097771,0.009058017642850164,CONDITIONAL_INFORMATION_VALUE_ONLY,False
LEGACY5,MAIN_RISE,10,185,121,179,0.09576256594061733,0.06382978723404255,0.2327399893041725,0.18575063613231552,-0.08439056358763988,-0.055357142857142855,0.664804469273743,,,,,,,474,0.03286876389938888,0.03135193034602232,0.039181545949521696,0.0405397028193992,0.0013589592331660488,0.007150368259309495,CONDITIONAL_INFORMATION_VALUE_ONLY,False
LEGACY5,MATURE,10,70,51,65,0.0238984586504619,-0.015197568389057751,0.1601119186807321,0.09090909090909091,-0.09974846549490336,-0.09133858267716535,0.46153846153846156,,,,,,,474,-0.038995343390766546,-0.04767542527707798,-0.033446524673918704,-0.05430184240382541,-0.013998942674097431,-0.028831071560713004,CONDITIONAL_INFORMATION_VALUE_ONLY,False
LEGACY5,DECLINING,10,145,86,144,0.03289121394114308,0.00479655592807071,0.16266966712547581,0.13435813962922397,-0.0923822975490626,-0.06842354246190989,0.5277777777777778,,,,,,,474,-0.030002588100085367,-0.027681300959949515,-0.03088877622917499,-0.010852793683692352,-0.006632774728256671,-0.00591603134545754,CONDITIONAL_INFORMATION_VALUE_ONLY,False
BOTH,SPROUTING,10,6,3,6,0.013848032851817552,0.018007202881152443,0.14811713018069353,0.15267175572519087,-0.06725246879451054,-0.053435114503816786,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.0,188,-0.07083551690694596,-0.01821530682130553,-0.05846643780387692,-0.012474274918930717,0.007851562917512975,0.0008284513876560748,CONDITIONAL_INFORMATION_VALUE_ONLY,True
BOTH,FERMENTING,10,26,11,26,0.13336074395477804,0.1005586592178771,0.17664961528508163,0.22346368715083798,-0.05836332421443784,-0.04721030042918459,1.0,0.6153846153846154,0.3076923076923077,0.0,0.38461538461538464,0.46153846153846156,0.0,188,0.04867719419601452,0.06433614951541913,-0.029933952699488814,0.05831765650671639,0.016740707497585675,0.007053265462288273,CONDITIONAL_INFORMATION_VALUE_ONLY,False
BOTH,MAIN_RISE,10,84,39,81,0.15506535310069142,0.09282700421940948,0.2758288690338485,0.1921259842519685,-0.05587725984916051,-0.03347280334728031,0.7407407407407407,0.6428571428571429,0.2619047619047619,0.09523809523809523,0.5476190476190477,0.40476190476190477,0.0,188,0.0703818033419279,0.05660449451695151,0.06924530104927806,0.026979953607846913,0.019226771862863,0.02079076254419255,CONDITIONAL_INFORMATION_VALUE_ONLY,False
BOTH,MATURE,10,28,12,27,-0.05774577995798892,-0.04556962025316458,0.11567927205195268,0.09448818897637795,-0.12327539575914002,-0.12143742255266418,0.2222222222222222,0.6428571428571429,0.35714285714285715,0.0,0.2857142857142857,0.5714285714285714,0.0,188,-0.14242932971675243,-0.08179212995562254,-0.09090429593261777,-0.07065784166774364,-0.04817136404711651,-0.06717385666119133,CONDITIONAL_INFORMATION_VALUE_ONLY,False
BOTH,DECLINING,10,44,19,42,0.020494785092131478,0.0033975084937712093,0.15836042517978788,0.1336353340883352,-0.09270187609445357,-0.0554089709762533,0.5714285714285714,0.5909090909090909,0.4090909090909091,0.0,0.45454545454545453,0.45454545454545453,0.0,188,-0.06418876466663204,-0.03282500120868676,-0.04822314280478257,-0.031510696555786394,-0.01759784438243006,-0.0011454050847804417,CONDITIONAL_INFORMATION_VALUE_ONLY,False
