cohort,scope,horizon,N,instrument_count,topic_count,date_count,endpoint_return_mean,endpoint_return_median,endpoint_return_trimmed5_mean,endpoint_return_winsorized5_mean,mfe_mean,mfe_median,mfe_trimmed5_mean,mfe_winsorized5_mean,mae_mean,mae_median,mae_trimmed5_mean,mae_winsorized5_mean,top1_instrument_share,top5_instrument_share,top1_topic_share,top1_date_share,early_count,middle_count,late_count,concentration_disclosure
A2,ALL_VALID_STAGES,5,1036,343,71,118,0.0372017932567839,0.012146545365133932,0.027324221836480662,0.0332861075462664,0.12548052261783674,0.09292967219537684,0.11384863911412206,0.1206253694883151,-0.054602999702202,-0.0483896614215763,-0.053579997526564324,-0.05428769867857396,0.006756756756756757,0.033783783783783786,0.07915057915057915,0.029922779922779922,482,455,99,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
LEGACY5,DECLINING,5,145,86,32,66,0.02349382419437645,0.008875639799763767,0.017720691458995387,0.0196860551198992,0.1165857332883615,0.09814175723266633,0.10872178722852749,0.11130961664836085,-0.061731918137796424,-0.04790877295249198,-0.05924603398636336,-0.06116546546910757,0.027586206896551724,0.13793103448275862,0.18620689655172415,0.034482758620689655,45,72,28,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
BOTH,ALL_VALID_STAGES,5,188,78,49,55,0.04134231388192903,0.016544117647058848,0.03211108096083599,0.03405053985053521,0.12682834638389276,0.0994919541785817,0.11570873120863329,0.12201293706271756,-0.05318780630492187,-0.040492136163557735,-0.05249448594999346,-0.05394203925266632,0.031914893617021274,0.11702127659574468,0.06382978723404255,0.07446808510638298,76,94,18,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
BOTH,SPROUTING,5,6,3,3,3,0.059971081072142364,0.07082833133253305,0.059971081072142364,0.059971081072142364,0.07643873683673826,0.07442977190876346,0.07643873683673826,0.07643873683673826,-0.04461872393854344,-0.053435114503816786,-0.04461872393854344,-0.04461872393854344,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,2,4,0,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
BOTH,FERMENTING,5,26,11,11,12,0.026829632717563,0.006791171477079828,0.024509379686582317,0.026317720039196864,0.08135732865270871,0.06437768240343346,0.07811870538028705,0.07992102355750741,-0.05836332421443784,-0.04721030042918459,-0.05825554304391058,-0.05836094491479848,0.15384615384615385,0.5384615384615384,0.15384615384615385,0.15384615384615385,22,4,0,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
BOTH,MAIN_RISE,5,84,39,27,29,0.08336146703899462,0.047097480832420595,0.07598809864605623,0.08158375882192193,0.16290155653834407,0.12919463087248317,0.15447346850217342,0.16206590000059365,-0.03959610411014923,-0.02457002457002455,-0.03904041264796552,-0.03974333210725045,0.047619047619047616,0.19047619047619047,0.07142857142857142,0.09523809523809523,38,42,4,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
BOTH,MATURE,5,28,12,11,13,-0.018798136479642704,-0.026589595375722544,-0.020734257539052354,-0.017773031291557224,0.10268817969377171,0.09448818897637795,0.10050252578280029,0.10275357567497083,-0.07985397964813468,-0.06457242582897038,-0.07679995754995114,-0.07788388121742026,0.14285714285714285,0.5,0.21428571428571427,0.14285714285714285,6,18,4,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
BOTH,DECLINING,5,44,19,13,19,0.0052898820050804795,0.015642458100558705,0.006684163602230897,0.005167126231117171,0.10812450344142667,0.10570792302440818,0.10857477394234524,0.10880382149171057,-0.06027809740160506,-0.04199459876543209,-0.05807178195848519,-0.059418858353237854,0.09090909090909091,0.36363636363636365,0.22727272727272727,0.09090909090909091,8,26,10,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
A2,ALL_VALID_STAGES,10,1036,343,71,118,0.061742721490992296,0.021852354571861854,0.04796952686664613,0.05671521195661373,0.18446302841577653,0.1328917547630536,0.165338965437183,0.17722593170564754,-0.07673088058997198,-0.06544653263403266,-0.07353976431642421,-0.07569247640045143,0.006756756756756757,0.033783783783783786,0.07915057915057915,0.029922779922779922,482,455,99,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
A2,SPROUTING,10,47,31,11,29,0.04023972366686042,0.01402872706871694,0.01916680878344953,0.03157439681241483,0.13755536420227388,0.08175105485232059,0.11753544086878245,0.12907544659165832,-0.07382449647636508,-0.07420324278513768,-0.07264632109164278,-0.07319097866444607,0.0851063829787234,0.2978723404255319,0.2127659574468085,0.0851063829787234,31,15,1,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
A2,FERMENTING,10,122,64,29,65,0.06195755854876767,0.013474373096611147,0.04312111790140705,0.053734334714559996,0.17070354239183014,0.0977476202271842,0.144398150351153,0.1596146410311899,-0.06437898151966973,-0.051149962751034284,-0.0628688043499991,-0.0642692335578682,0.04918032786885246,0.1885245901639344,0.1721311475409836,0.04918032786885246,70,46,6,DESCRIPTIVE_CONCENTRATION_AUDIT; NOT A FILTER
