entry_proxy,extension_band,horizon,event_count,unique_instruments,unique_dates,extension_mean,extension_median,forward_mean,forward_median,forward_trimmed_mean_10pct,forward_win_rate,forward_p05,forward_p25,forward_p75,forward_p95,mfe_mean,mfe_median,mfe_p25,mfe_p75,mae_mean,mae_median,mae_p25,mae_p75,outlier_driven
OBSERVABLE_A2_CLOSE,GT_3_TO_5PCT,1,110,102,39,0.03905750802451984,0.037829411707440475,-0.0007628098717097171,-0.006838749485808315,-0.0022303627933496443,0.4636363636363636,-0.08737567811934902,-0.03915209875233219,0.030704041720990782,0.09917659456136751,0.05060452023810592,0.0529824561403508,0.022849846736789414,0.08535349135575643,-0.027458232231576764,-0.028891536584242705,-0.06144069179311465,-0.005111489967129457,False
OBSERVABLE_A2_CLOSE,GT_3_TO_5PCT,3,105,98,38,0.039203665741068594,0.03788903924221909,0.002326398674754801,-0.005970149253731294,-0.002728850620588149,0.4666666666666667,-0.1579432242948327,-0.06798866855524077,0.06468305304010347,0.16736552078292713,0.08893544751327816,0.07773851590106018,0.03504043126684642,0.12919463087248317,-0.06106341087499065,-0.057547169811320686,-0.09261300992282251,-0.02298850574712641,True
OBSERVABLE_A2_CLOSE,GT_3_TO_5PCT,5,103,96,37,0.0393042743326606,0.03794037940379402,0.015618959820291699,-0.0014903129657226621,0.0018477864934522488,0.49514563106796117,-0.17678413792574055,-0.0743001341349262,0.07791820081600165,0.2550249927905406,0.11619960718166938,0.0937062937062938,0.04037959057140639,0.16452295628813451,-0.07768314571901216,-0.0746934225195095,-0.12281101251689491,-0.031093009584209186,False
OBSERVABLE_A2_CLOSE,GT_3_TO_5PCT,10,93,86,35,0.03918771929006274,0.03788903924221909,0.05079397995822268,0.013888888888889062,0.029350246001808574,0.5376344086021505,-0.20712152305097828,-0.08388814913448728,0.15384615384615397,0.4159500857199066,0.18350564076324097,0.12809917355371914,0.0714285714285714,0.2516447368421053,-0.09991516429851977,-0.08661417322834641,-0.1575091575091575,-0.038461538461538436,False
OBSERVABLE_A2_CLOSE,GT_5PCT,1,122,110,44,0.07073308586507822,0.06872933396315539,0.030954818610782225,0.04154182419041941,0.036257785876739106,0.639344262295082,-0.07278137086290563,-0.021675441576086946,0.09828797328797334,0.09974407988020625,0.06638628929077069,0.08497777009573737,0.03845288560949034,0.09896385340547781,-0.006430592794393562,-0.0129994695352883,-0.05353032492907231,0.030622440622440683,False
OBSERVABLE_A2_CLOSE,GT_5PCT,3,118,106,41,0.07098672411162281,0.06872933396315539,0.029303480472306756,0.012581918596736852,0.018195337454744106,0.5338983050847458,-0.13633334208660491,-0.057768377270932064,0.08377772484622609,0.3234432991564037,0.11924920517296728,0.09873370357241329,0.056711935532216706,0.16958394732300497,-0.04217396827698547,-0.04376558671534364,-0.08413474039611646,-0.003885113746676244,False
OBSERVABLE_A2_CLOSE,GT_5PCT,5,111,101,38,0.07109529206126898,0.06896551724137923,0.03716472659043196,0.021352313167259718,0.02137860044488563,0.5855855855855856,-0.15080448007277275,-0.08025027752548186,0.09291889432374034,0.3440702461242007,0.15163608433988865,0.1195121951219511,0.07110631429515979,0.1914653963561257,-0.061870753149792616,-0.05888223552894212,-0.11267408437019244,-0.015720582088985136,False
OBSERVABLE_A2_CLOSE,GT_5PCT,10,105,96,35,0.07100157639489936,0.06849315068493156,0.04766806553225022,-0.00694444444444442,0.024359775337773917,0.44761904761904764,-0.2048841670355615,-0.09343065693430652,0.1610389610389611,0.43933703478610203,0.2050709849018867,0.15633423180592976,0.08427876823338742,0.2768777614138438,-0.08903773682483,-0.08265424912689179,-0.15072083879423326,-0.030888030888030826,False
NEXT_SESSION_OPEN,LE_0PCT,1,32,30,20,-0.013735931713924336,-0.011164274322169154,0.011475770247734184,0.005071365416193019,0.007084632254810468,0.625,-0.07973810226266936,-0.032885627824068314,0.037349014621742005,0.13007352941176467,0.04800337598900002,0.03691198310877308,0.008068081343943545,0.07255877034358044,-0.028267051976873715,-0.019549651403806212,-0.044553485729956294,-0.008368636710882671,False
NEXT_SESSION_OPEN,LE_0PCT,3,30,28,20,-0.011567760268095261,-0.010844386435257036,-0.016661021127973446,-0.013548897819997574,-0.01910631996231821,0.3,-0.148590907378809,-0.0732076866223208,0.03286105786105792,0.14572533849129599,0.07609433966129459,0.06098785034308618,0.011897539602291896,0.13038136951180423,-0.06251900171113034,-0.03538595766175323,-0.09662857467735514,-0.015855141269106032,False
