market,entry_proxy,horizon,event_count,unique_instruments,unique_dates,extension_mean,extension_median,forward_mean,forward_median,forward_trimmed_mean_10pct,forward_win_rate,forward_p05,forward_p25,forward_p75,forward_p95,mfe_mean,mfe_median,mfe_p25,mfe_p75,mae_mean,mae_median,mae_p25,mae_p75,outlier_driven,a2_event_count,reference_loss_rate_h10,reference_reclaim_rate_after_loss_h10
TWO,OBSERVABLE_A2_CLOSE,3,161,101,44,0.036053186415407654,0.03143418467583503,0.029804721705407263,0.015105740181268867,0.020324783457050005,0.5527950310559007,-0.14239482200647247,-0.05778894472361806,0.08311345646437984,0.3240418118466901,0.11383335509661904,0.09529411764705875,0.04570791527313256,0.17214043035107585,-0.04564058086448529,-0.04292929292929293,-0.0916334661354582,-0.0011325028312569874,False,168,0.7378048780487805,0.7024793388429752
TWO,OBSERVABLE_A2_CLOSE,5,155,98,43,0.036543419836069624,0.03147208121827405,0.02995091612392507,0.02297297297297307,0.01732281186209592,0.5612903225806452,-0.18530289330922242,-0.07584976629698259,0.1057289240801117,0.34292283436979926,0.14305303121064594,0.11428571428571432,0.057283828789934654,0.1973826606276804,-0.06624365258093515,-0.05102040816326525,-0.11332138011242487,-0.00875752599890528,False,168,0.7378048780487805,0.7024793388429752
TWO,OBSERVABLE_A2_CLOSE,10,145,93,40,0.03673471521732022,0.03237410071942448,0.05658473236931459,0.01650165016501659,0.03963444478648928,0.5241379310344828,-0.21240506329113926,-0.09726775956284162,0.17475728155339798,0.42369595138200883,0.20611524277850632,0.1600877192982455,0.08301158301158318,0.3160919540229885,-0.0971728472824131,-0.08144796380090502,-0.1632270168855534,-0.025974025974025983,False,168,0.7378048780487805,0.7024793388429752
TWO,NEXT_SESSION_OPEN,1,165,103,45,0.06112264016424889,0.04868154158215021,-0.0075000367876860655,-0.005452562704471142,-0.008080371304168502,0.3575757575757576,-0.08943686543686549,-0.03697996918335911,0.019607843137254832,0.07311423144756474,0.03418740671161206,0.025878003696857554,0.006211180124223503,0.059259259259259345,-0.03903458278753827,-0.032786885245901676,-0.0539568345323741,-0.011049723756906271,False,168,0.7378048780487805,0.7024793388429752
TWO,NEXT_SESSION_OPEN,3,161,101,44,0.06270768092443317,0.050520059435364084,0.0034611819715947667,-0.00417827298050133,-0.0036757827389414357,0.4720496894409938,-0.14554973821989536,-0.06725146198830412,0.054794520547945424,0.20842572062084264,0.08571292487822792,0.067106710671067,0.02436323366555926,0.13242009132420107,-0.06954174858939284,-0.06206088992974235,-0.10455104551045513,-0.024291497975708398,True,168,0.7378048780487805,0.7024793388429752
TWO,NEXT_SESSION_OPEN,5,155,98,43,0.06315805253449563,0.05063291139240511,0.003721026587889418,-0.014925373134328401,-0.006470808434742649,0.45806451612903226,-0.18873368400545487,-0.09184265010351966,0.07832556073728625,0.2866360665192732,0.11403436429611445,0.0901639344262295,0.03472071960681278,0.1496522383844089,-0.08970344360393322,-0.07913669064748197,-0.13493497341277466,-0.03312387726012417,True,168,0.7378048780487805,0.7024793388429752
TWO,NEXT_SESSION_OPEN,10,145,93,40,0.06386276247748394,0.05131761442441052,0.02994206455304632,-0.018045112781954975,0.012503876189945145,0.4689655172413793,-0.2437797444025302,-0.106280193236715,0.13849509269356597,0.4103981011975401,0.1753382326992554,0.11428571428571432,0.056060606060606144,0.2619863013698631,-0.12018377877483055,-0.10402684563758391,-0.18138424821002386,-0.04399999999999993,False,168,0.7378048780487805,0.7024793388429752
TWO,NEXT_SESSION_CLOSE,1,165,103,45,0.05315856765521045,0.046831955922865154,0.00783238600061172,0.0,0.007733194758047765,0.4909090909090909,-0.08037377018932328,-0.039024390243902474,0.05785123966942152,0.09962667204797042,0.04977563499031848,0.04557640750670244,0.015625,0.09708737864077666,-0.023521698265025644,-0.030470914127423865,-0.0558598028477546,-0.0032000000000000917,False,168,0.7378048780487805,0.7024793388429752
TWO,NEXT_SESSION_CLOSE,3,161,101,44,0.05507528777368032,0.04884318766066831,0.010904635158443605,-0.0038461538461538325,-0.00024043617630710435,0.484472049689441,-0.13808975834292292,-0.06870229007633577,0.06666666666666665,0.2326530612244897,0.09221313185551393,0.06825938566552892,0.026086956521739202,0.13475177304964547,-0.05243994739590521,-0.051094890510948954,-0.08993576017130622,-0.019230769230769273,True,168,0.7378048780487805,0.7024793388429752
TWO,NEXT_SESSION_CLOSE,5,154,97,42,0.05682962877728564,0.05044667709355033,0.027992286050913976,0.0017241379310344307,0.013652312821864816,0.5,-0.1798798895933066,-0.0730059987872489,0.11939688608156035,0.33079004609729334,0.12890947352269508,0.09700648123143396,0.047489910075762864,0.17995268138801257,-0.07478324580549014,-0.07267069701280227,-0.12923661071143086,-0.02752238805970153,False,168,0.7378048780487805,0.7024793388429752
TWO,NEXT_SESSION_CLOSE,10,145,93,40,0.05803365459018714,0.050473186119873725,0.03782115460065459,0.020325203252032464,0.023139906449279966,0.5172413793103449,-0.22828874814884836,-0.10476190476190483,0.1404255319148937,0.41635472370766474,0.18262693783266074,0.11597374179431075,0.06115107913669071,0.2652608213096561,-0.10521912753174777,-0.09966216216216228,-0.1657142857142857,-0.03673469387755102,False,168,0.7378048780487805,0.7024793388429752
