period,entry_proxy,horizon,event_count,unique_instruments,unique_dates,extension_mean,extension_median,forward_mean,forward_median,forward_trimmed_mean_10pct,forward_win_rate,forward_p05,forward_p25,forward_p75,forward_p95,mfe_mean,mfe_median,mfe_p25,mfe_p75,mae_mean,mae_median,mae_p25,mae_p75,outlier_driven,a2_event_count,reference_loss_rate_h10,reference_reclaim_rate_after_loss_h10,july_stress_segment
NON_JULY,THEORETICAL_REFERENCE_FILL,10,359,263,35,0.0,0.0,0.09944918865795978,0.05384615384615388,0.07522702325394173,0.6685236768802229,-0.1591786340408073,-0.03256259467165645,0.19277532880474058,0.5013450637989729,0.23833282993441174,0.19041095890410964,0.11094171377708084,0.3197277847309137,-0.04590154587048395,-0.03454894433781197,-0.105949694126032,0.005820749352372423,False,420,0.7182741116751269,0.773851590106007,False
NON_JULY,OBSERVABLE_A2_CLOSE,1,414,294,42,0.034223147208450135,0.02921024758374169,0.018140412877259163,0.009693042474979263,0.02018329666513024,0.5676328502415459,-0.07627812160854135,-0.022920103092783528,0.0748515895035417,0.09966840245423395,0.05480641157081785,0.05511904761904762,0.021654819845830953,0.09819274913463288,-0.012460241534906304,-0.01652138312208934,-0.0432689432450212,0.010800157666535193,False,420,0.7182741116751269,0.773851590106007,False
NON_JULY,OBSERVABLE_A2_CLOSE,3,402,290,40,0.034133325087116716,0.028573087235903016,0.026704211429001503,0.010146940910630509,0.01891572193670679,0.5472636815920398,-0.12724549862992401,-0.047660459400699545,0.0838707811777063,0.23835534764263416,0.10350199082823887,0.0862890107494424,0.0347341337907377,0.15710598671923637,-0.03946765648422206,-0.03418888810108528,-0.07634112435550314,-0.0026080084299262285,False,420,0.7182741116751269,0.773851590106007,False
NON_JULY,OBSERVABLE_A2_CLOSE,5,390,284,38,0.03405345607620428,0.028573087235903016,0.03994310529336836,0.02067922914821496,0.02596240044306721,0.5974358974358974,-0.1500989119683482,-0.05576317004463052,0.10362248046071582,0.3381947520351897,0.13568242919872534,0.10229915433403802,0.04673348003571881,0.18971889893979182,-0.05440787649961169,-0.04548629804804477,-0.0956024926330829,-0.009714643422389146,False,420,0.7182741116751269,0.773851590106007,False
NON_JULY,OBSERVABLE_A2_CLOSE,10,359,263,35,0.03444409157242382,0.030000000000000027,0.0627519567895119,0.020022246941045596,0.03959972016994942,0.5487465181058496,-0.17776524156827977,-0.0661503582277248,0.14983429269143567,0.4463312127819893,0.1968564309999732,0.15506329113924044,0.07468885757895971,0.2702702702702703,-0.07759830002141482,-0.06851851851851853,-0.13021739130434784,-0.021791895314478726,False,420,0.7182741116751269,0.773851590106007,False
NON_JULY,NEXT_SESSION_OPEN,1,414,294,42,0.05857967469046918,0.04822180134680132,-0.005151222568740826,-0.003899005867509797,-0.00630682791284731,0.38405797101449274,-0.07963425715583825,-0.033564334824838976,0.02165183902555523,0.07172491614928989,0.03107630044199021,0.022521380165405724,0.004669991014606967,0.05114269788182835,-0.03517884916882344,-0.030023313814790675,-0.05159252553989399,-0.01169536569832949,False,420,0.7182741116751269,0.773851590106007,False
NON_JULY,NEXT_SESSION_OPEN,3,402,290,40,0.05905326692666981,0.04777610567678292,0.0021414934714490547,-0.007621394669587445,-0.004059258159897275,0.4527363184079602,-0.13744986408165355,-0.0592270531400966,0.05276558384547836,0.19660167437761614,0.07722331294329475,0.06234572221833368,0.020122950819672136,0.11097756410256415,-0.062069949227923096,-0.05129427650674112,-0.09221521053204221,-0.02266343825665859,True,420,0.7182741116751269,0.773851590106007,False
NON_JULY,NEXT_SESSION_OPEN,5,390,284,38,0.05965637854716265,0.04822180134680132,0.014506775950503741,-0.003681481723024793,0.002497411881116198,0.4846153846153846,-0.159255308194493,-0.07365270960633077,0.07431877310694235,0.2750223034670949,0.10779916876013997,0.08265132299593092,0.032553509208561426,0.14943829371540224,-0.07721132276239287,-0.06759329308392548,-0.11100260416666671,-0.02960803908505441,False,420,0.7182741116751269,0.773851590106007,False
NON_JULY,NEXT_SESSION_OPEN,10,359,263,35,0.06082790359248919,0.04967602591792675,0.03647731378340465,-0.0019342359767892114,0.013843512004077626,0.49025069637883006,-0.17955152246321698,-0.08389660278873368,0.1124383217383309,0.41264267990074427,0.16672120286529332,0.1113537117903931,0.05576527991782232,0.22824680082055293,-0.10037840692946319,-0.08687615526802228,-0.15068761704119854,-0.03750971140545356,False,420,0.7182741116751269,0.773851590106007,False
NON_JULY,NEXT_SESSION_CLOSE,1,411,293,41,0.05336783615883825,0.04417670682730934,0.006725102318721272,0.0,0.0056764700075034435,0.48905109489051096,-0.07436426614528646,-0.035799726589200276,0.04695100035941058,0.09951651108790849,0.04432030668803044,0.037701974865349985,0.013548218029350134,0.08847511094476834,-0.023786851065398153,-0.02564102564102566,-0.05288648648648647,-0.0022136415087449235,False,420,0.7182741116751269,0.773851590106007,False
NON_JULY,NEXT_SESSION_CLOSE,3,400,289,39,0.05456716449354518,0.044555662361906445,0.01273938291151782,-0.002598210344689267,0.0026580936048889855,0.4825,-0.1311490992956429,-0.05920213741858543,0.06023961485968926,0.23267521243372782,0.0835768965187907,0.05994986560357585,0.022323848238482435,0.1191422729927954,-0.051098402945914986,-0.04720882888674599,-0.08739076796545697,-0.0152884615384615,False,420,0.7182741116751269,0.773851590106007,False
NON_JULY,NEXT_SESSION_CLOSE,5,385,281,37,0.05586464511957769,0.04672897196261672,0.029364040405743093,0.0017857142857142794,0.014898362282198143,0.5012987012987012,-0.14954888752806694,-0.06315789473684208,0.09771986970684043,0.3180374607344503,0.11801631149117721,0.09090909090909083,0.032863849765258246,0.16901408450704225,-0.06657390347984682,-0.05882352941176472,-0.10861423220973787,-0.019677996422182487,False,420,0.7182741116751269,0.773851590106007,False
NON_JULY,NEXT_SESSION_CLOSE,10,359,263,35,0.05718818486557009,0.04672897196261672,0.04082431835403276,0.010327022375215211,0.019145330935232817,0.5153203342618384,-0.18590095244505772,-0.08000315656565654,0.11284835102816182,0.4455430941772919,0.17375272558439966,0.116222760290557,0.05177712390827138,0.24417327627944063,-0.09186688300271262,-0.08718626155878473,-0.14490281308947756,-0.03052146729189531,False,420,0.7182741116751269,0.773851590106007,False
