temporal,entry_proxy,horizon,event_count,unique_instruments,unique_dates,extension_mean,extension_median,forward_mean,forward_median,forward_trimmed_mean_10pct,forward_win_rate,forward_p05,forward_p25,forward_p75,forward_p95,mfe_mean,mfe_median,mfe_p25,mfe_p75,mae_mean,mae_median,mae_p25,mae_p75,outlier_driven,a2_event_count,reference_loss_rate_h10,reference_reclaim_rate_after_loss_h10
DEVELOPMENT_AVAILABLE,NEXT_SESSION_CLOSE,5,378,275,35,0.055910197740816785,0.045596086603896246,0.02921324124586073,0.0009433962264151496,0.014771883948975485,0.5,-0.1517349551856594,-0.06373639494256339,0.09813514670957874,0.3189648314841951,0.11829423745527197,0.09095953990515582,0.03342804218356782,0.16906511532965918,-0.06712254453243077,-0.05931762464946472,-0.11021107642188138,-0.019524310102109227,False,394,0.7182741116751269,0.773851590106007
DEVELOPMENT_AVAILABLE,NEXT_SESSION_CLOSE,10,359,263,35,0.05718818486557009,0.04672897196261672,0.04082431835403276,0.010327022375215211,0.019145330935232817,0.5153203342618384,-0.18590095244505772,-0.08000315656565654,0.11284835102816182,0.4455430941772919,0.17375272558439966,0.116222760290557,0.05177712390827138,0.24417327627944063,-0.09186688300271262,-0.08718626155878473,-0.14490281308947756,-0.03052146729189531,False,394,0.7182741116751269,0.773851590106007
VALIDATION,THEORETICAL_REFERENCE_FILL,1,69,67,19,0.0,0.0,0.014988423036166966,0.0035087719298245723,0.008959007120433533,0.5362318840579711,-0.08156916254477235,-0.03728813559322042,0.046875,0.1563709207089788,0.06790833678411094,0.04347826086956519,0.02564102564102555,0.1071428571428572,-0.01622696068357118,-0.015927189988623525,-0.04865771812080533,0.007211538461538325,False,70,0.9565217391304348,0.5303030303030303
VALIDATION,THEORETICAL_REFERENCE_FILL,3,64,62,19,0.0,0.0,-0.014686819714966664,-0.010589592793865787,-0.019876051529919905,0.328125,-0.12832104047231965,-0.0761245077040005,0.025602409638554036,0.13582495285983665,0.08272649142683626,0.043617465546842316,0.027828336047514113,0.13147498419200127,-0.05829202719646363,-0.05163131540158278,-0.10885809691583631,-0.021693644808240625,False,70,0.9565217391304348,0.5303030303030303
VALIDATION,THEORETICAL_REFERENCE_FILL,5,58,57,19,0.0,0.0,-0.042927525278705685,-0.0479346128658506,-0.046728348863694785,0.27586206896551724,-0.1810752733038471,-0.10136735234826763,0.005154204604678303,0.1546881496881496,0.09045706875359039,0.05974124809741255,0.030644126190637055,0.13965537976374998,-0.0926433748187462,-0.09103280461427543,-0.14694849073466415,-0.03660272392364089,False,70,0.9565217391304348,0.5303030303030303
VALIDATION,THEORETICAL_REFERENCE_FILL,10,50,49,16,0.0,0.0,-0.09406958082382567,-0.09927153523948279,-0.1169064434392221,0.18,-0.34930822960508645,-0.25366737363025804,-0.00950028578427381,0.22549733818996914,0.11517925879925126,0.06491801577418022,0.03127538050987788,0.1502614619617777,-0.16427145235945803,-0.1316339512904398,-0.2791721993151164,-0.07373391448733907,False,70,0.9565217391304348,0.5303030303030303
VALIDATION,OBSERVABLE_A2_CLOSE,1,69,67,19,0.03045246896459083,0.018626309662397977,-0.015336059287220668,-0.01935483870967747,-0.01805778872525677,0.36231884057971014,-0.09677402953961924,-0.06588579795021965,0.017229496898690577,0.09077398888719619,0.03584030786159744,0.02358490566037741,0.012658227848101333,0.06997742663656892,-0.04532865656555962,-0.0428994082840235,-0.08052708638360173,-0.017584994138335253,False,70,0.9565217391304348,0.5303030303030303
VALIDATION,OBSERVABLE_A2_CLOSE,3,64,62,19,0.03143032003396383,0.01953025680142384,-0.04470785531773039,-0.04433191186922536,-0.04594226380563406,0.234375,-0.16015914137675796,-0.09611895161290324,0.0,0.06346234057912892,0.04894935129062948,0.02761662679425836,0.015237352788902647,0.07775498315730822,-0.08676945479169654,-0.08053517228239437,-0.12727934587813616,-0.045692873085507624,False,70,0.9565217391304348,0.5303030303030303
VALIDATION,OBSERVABLE_A2_CLOSE,5,58,57,19,0.031052351877134034,0.018974990579991302,-0.07141789420395102,-0.08271144278606968,-0.07277104801876974,0.1896551724137931,-0.21459344660194174,-0.14184996321719845,-0.008072590738423008,0.07346384846384846,0.05691906699018778,0.0346732426264752,0.0171626533393911,0.09706314811948619,-0.11954786868125887,-0.11981753209041024,-0.16262411317379133,-0.05568979904040053,False,70,0.9565217391304348,0.5303030303030303
VALIDATION,OBSERVABLE_A2_CLOSE,10,50,49,16,0.029996308457017406,0.01844557492252319,-0.11975353171872176,-0.11467507809150485,-0.1411405032978318,0.1,-0.36145642551892554,-0.2666047256981145,-0.03638092368731502,0.17617112934014334,0.08212483227004097,0.0346732426264752,0.019354838709677358,0.09972527472527482,-0.18808258249590823,-0.1642067588868264,-0.2979345555813414,-0.10156438624646719,False,70,0.9565217391304348,0.5303030303030303
VALIDATION,NEXT_SESSION_OPEN,1,69,67,19,0.038312817415307954,0.026755852842809347,-0.02210690623811023,-0.024793388429751984,-0.023346619501424158,0.2898550724637681,-0.11057692307692309,-0.061202185792349706,0.004678362573099504,0.07430402930402925,0.028498554519703085,0.016431924882629012,0.002096436058700135,0.04761904761904767,-0.0518553642818653,-0.04081632653061229,-0.07868852459016396,-0.025862068965517127,False,70,0.9565217391304348,0.5303030303030303
VALIDATION,NEXT_SESSION_OPEN,3,64,62,19,0.03997709503513065,0.027520745521601775,-0.05176592550627326,-0.0460870366530744,-0.05119345640517503,0.21875,-0.16922151731430077,-0.10064102564102562,-0.007303141574867389,0.062150787965616044,0.04083507970380966,0.019144845266434674,0.0043823944426353845,0.057084829058936026,-0.09327600835566505,-0.09488629771435197,-0.13045933162751025,-0.04892827042664177,False,70,0.9565217391304348,0.5303030303030303
VALIDATION,NEXT_SESSION_OPEN,5,58,57,19,0.04021923367939457,0.02707655655839103,-0.07830118088221324,-0.0857187591643595,-0.07878634029893908,0.22413793103448276,-0.23805803571428572,-0.1470203345589267,-0.005142993702758364,0.0763556442080378,0.04810224603631001,0.025015634771732298,0.004998248788745496,0.0633741117319826,-0.1263244339600355,-0.1171992481203008,-0.17841651218300555,-0.0652955974842768,False,70,0.9565217391304348,0.5303030303030303
VALIDATION,NEXT_SESSION_OPEN,10,50,49,16,0.040572489471889156,0.02651914295749913,-0.12745218490512747,-0.13383189995429812,-0.1471573526959584,0.12,-0.3924226804123711,-0.26577137225917713,-0.04844425495239024,0.1667700777989384,0.07170395181240813,0.026456876456876444,0.003384968445209413,0.065402995010866,-0.1952250634456667,-0.1651518775412581,-0.28525739237015474,-0.10895270270270263,False,70,0.9565217391304348,0.5303030303030303
VALIDATION,NEXT_SESSION_CLOSE,1,69,67,19,0.014988423036166966,0.0035087719298245723,-0.020672026207918897,-0.02008032128514059,-0.023280090520792895,0.21739130434782608,-0.09838937933823022,-0.04683840749414525,0.0,0.07734985981997916,0.025178787138709094,0.017006802721088343,0.0023474178403755097,0.04074505238649584,-0.04849650893629659,-0.045454545454545414,-0.07113821138211385,-0.023255813953488413,False,70,0.9565217391304348,0.5303030303030303
VALIDATION,NEXT_SESSION_CLOSE,3,64,62,19,0.016276965654240902,0.0037228899019201567,-0.04473316890554057,-0.04448600954318871,-0.04826227739380161,0.21875,-0.15072650155009706,-0.09334605492408526,-0.01364809442250109,0.055503978779840785,0.04551872448257659,0.03061632204574971,0.01310483870967738,0.0718641631835023,-0.081548440622773,-0.07541018193236909,-0.11393261529964102,-0.046771361685524815,False,70,0.9565217391304348,0.5303030303030303
VALIDATION,NEXT_SESSION_CLOSE,5,58,57,19,0.014449103983978901,0.0033267130089374986,-0.05527292363922547,-0.06169496487119441,-0.06132916387786946,0.2413793103448276,-0.18011249497790277,-0.12066040158943592,-0.006634890798424609,0.07631354795439274,0.053547049477725664,0.029773311712774198,0.013990179747159714,0.0774949219140223,-0.11168622730773095,-0.11564664843353367,-0.14742703533026116,-0.060367315284828,False,70,0.9565217391304348,0.5303030303030303
VALIDATION,NEXT_SESSION_CLOSE,10,49,48,15,0.013279749365407366,0.0,-0.11988691412546813,-0.11564625850340127,-0.12995733697702339,0.12244897959183673,-0.3420724980299448,-0.22916666666666674,-0.02677532013969741,0.12911667536080645,0.07392259137503396,0.03947368421052633,0.0185185185185186,0.07909604519774027,-0.18788654404127791,-0.15017462165308504,-0.2605633802816901,-0.0968992248062015,False,70,0.9565217391304348,0.5303030303030303
HOLDOUT,THEORETICAL_REFERENCE_FILL,1,23,22,7,0.0,0.0,0.023015185533983268,0.02341137123745818,0.02210001706773846,0.6086956521739131,-0.036905985047822,-0.007760875550660851,0.056723939526209244,0.0908702290076335,0.061177379847329794,0.0553814002089863,0.035911927922385845,0.08386686366248042,0.00020429311440249505,0.0031347962382444194,-0.018515007043016563,0.022012527054502518,False,26,,
HOLDOUT,THEORETICAL_REFERENCE_FILL,3,17,16,5,0.0,0.0,0.05280968556500922,0.037681159420289934,0.04552154073560164,0.5882352941176471,-0.02693892981470487,-0.007812500000000111,0.07061068702290085,0.19428152113932806,0.09082654659243122,0.06666666666666665,0.04171632896305133,0.12903225806451624,-0.014420661404215033,-0.02564102564102555,-0.045292014302741324,0.012048192771084265,False,26,,
HOLDOUT,THEORETICAL_REFERENCE_FILL,5,12,12,3,0.0,0.0,0.085791659179118,0.06383172917358115,0.06821356573156785,0.75,-0.030121014108467698,0.01458565589000363,0.12270050613198358,0.25690277356007674,0.13532217168412572,0.11951690821256034,0.05808794511701698,0.17068875316332494,-0.014647726980437195,-0.02418414918414913,-0.045563213625606724,0.008182782018659907,False,26,,
HOLDOUT,THEORETICAL_REFERENCE_FILL,10,0,0,0,,,,,,,,,,,,,,,,,,,False,26,,
HOLDOUT,OBSERVABLE_A2_CLOSE,1,23,22,7,0.03003997205837234,0.02006688963210701,-0.006838501300055178,-0.01187648456057011,-0.008042981324631718,0.30434782608695654,-0.0525626159554731,-0.03092207792207785,0.0104149759238219,0.05567598587166493,0.030094529772390848,0.0348360655737705,0.008523088376822696,0.04097439675815062,-0.028961443733958658,-0.033333333333333326,-0.03754062838569877,-0.014754098360655665,False,26,,
HOLDOUT,OBSERVABLE_A2_CLOSE,3,17,16,5,0.0260848835672482,0.019853709508881767,0.025911898150522344,0.0,0.0221091491702918,0.47058823529411764,-0.050954575378538466,-0.019841269841269882,0.05649717514124286,0.16024741235680556,0.06274608557333973,0.045454545454545414,0.014204545454545414,0.101123595505618,-0.03944055966951533,-0.03448275862068961,-0.050273224043715814,-0.023170089520800463,False,26,,
HOLDOUT,OBSERVABLE_A2_CLOSE,5,12,12,3,0.029723725161380277,0.020178372352285368,0.0532823374335891,0.046251712035610404,0.04015294139281367,0.75,-0.04228986284575891,-0.0012015648286140268,0.08281581075052974,0.18926726662761584,0.10163442903924007,0.08825177798392092,0.04146840076321007,0.11381420545746396,-0.042999979609821326,-0.03272694845728552,-0.060690065982404645,-0.022205893320857845,False,26,,
HOLDOUT,OBSERVABLE_A2_CLOSE,10,0,0,0,,,,,,,,,,,,,,,,,,,False,26,,
HOLDOUT,NEXT_SESSION_OPEN,1,23,22,7,0.035945016386220316,0.02422907488986792,-0.012289630784398053,-0.01754385964912286,-0.01318443081418354,0.391304347826087,-0.06544592806905679,-0.03817049808429118,0.014754416618132371,0.05079268292682926,0.024297044359290216,0.019553072625698276,0.008257713248638887,0.034054487179487225,-0.03429949031906599,-0.033333333333333326,-0.049614184556172114,-0.014870689655172298,False,26,,
HOLDOUT,NEXT_SESSION_OPEN,3,17,16,5,0.03203207317592984,0.024096385542168752,0.02022144010898547,0.0,0.01559440070596106,0.4117647058823529,-0.05220607303440265,-0.029166666666666674,0.06341463414634152,0.15540340147003592,0.05670459967022771,0.0326923076923078,0.020000000000000018,0.09487666034155606,-0.044751635157798286,-0.04390243902439028,-0.06153846153846154,-0.022857142857142798,False,26,,
HOLDOUT,NEXT_SESSION_OPEN,5,12,12,3,0.0370516273278248,0.02465372239791197,0.04618235733877509,0.027519338203695787,0.031701228353785325,0.6666666666666666,-0.049797914935408326,-0.008973214285714348,0.07879714576962288,0.1830013897606024,0.09407968510062496,0.06857004727116456,0.04646253574339804,0.10587971747838926,-0.04957242427398703,-0.05352822580645161,-0.06284400998874323,-0.023477443609022514,False,26,,
HOLDOUT,NEXT_SESSION_OPEN,10,0,0,0,,,,,,,,,,,,,,,,,,,False,26,,
HOLDOUT,NEXT_SESSION_CLOSE,1,20,19,6,0.023329139550109262,0.013507487420530873,0.01315361077244514,0.004142832749935987,0.009990401554822684,0.55,-0.039281586464513255,-0.005267554358667492,0.028022710654221683,0.0949808960791836,0.03835917021708528,0.03375442282176022,0.007749935968581978,0.057676243912433645,-0.011964346347206223,-0.008957424980764295,-0.019072203238746005,0.0029998131263954675,False,26,,
HOLDOUT,NEXT_SESSION_CLOSE,3,15,14,4,0.031530798759615224,0.031215161649944312,0.041054860805591765,0.010162601626016343,0.03208257835007355,0.5333333333333333,-0.03126351351351353,-0.010071349294434762,0.08249415572738716,0.16993372062238093,0.07305354334446088,0.03035714285714275,0.012431581244011891,0.11012696828565083,-0.028152485284230016,-0.02008032128514059,-0.04177795584045585,-0.009630419331911833,False,26,,
HOLDOUT,NEXT_SESSION_CLOSE,5,7,7,2,0.0534048035726667,0.06404494382022463,0.03750719503939066,0.0017857142857142794,0.03750719503939066,0.5714285714285714,-0.02708287829146948,-0.016213802780967013,0.024868121133181376,0.2029885115965444,0.1030083094300601,0.043243243243243246,0.03143873403019737,0.13683090571240186,-0.03694728664031329,-0.02564102564102555,-0.05342624854819977,-0.022477971587843926,False,26,,
HOLDOUT,NEXT_SESSION_CLOSE,10,0,0,0,,,,,,,,,,,,,,,,,,,False,26,,
