feature_name,category,status,bin_definition,train_q1,train_q2,train_q3,bin,total_A1_n,success_n,failed_breakout_n,success_rate,failed_breakout_rate,task_id,source_canonical_head,source_baseline_head,frozen_spec_hash,dataset_authority
reference_below_high_streak,CONSOLIDATION_STRUCTURE,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.0,5.0,9.75,Q1,235,90,108,0.45454545454545453,0.5454545454545454,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
reference_below_high_streak,CONSOLIDATION_STRUCTURE,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.0,5.0,9.75,Q2,115,68,31,0.6868686868686869,0.31313131313131315,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
reference_below_high_streak,CONSOLIDATION_STRUCTURE,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.0,5.0,9.75,Q3,131,88,29,0.7521367521367521,0.24786324786324787,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
reference_below_high_streak,CONSOLIDATION_STRUCTURE,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.0,5.0,9.75,Q4,219,140,46,0.7526881720430108,0.24731182795698925,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_1d,MOMENTUM,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.007430349114315898,0.023317598793959914,0.05458644278606965,Q1,220,129,49,0.7247191011235955,0.2752808988764045,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_1d,MOMENTUM,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.007430349114315898,0.023317598793959914,0.05458644278606965,Q2,171,93,51,0.6458333333333334,0.3541666666666667,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_1d,MOMENTUM,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.007430349114315898,0.023317598793959914,0.05458644278606965,Q3,165,78,62,0.5571428571428572,0.44285714285714284,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_1d,MOMENTUM,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.007430349114315898,0.023317598793959914,0.05458644278606965,Q4,144,86,52,0.6231884057971014,0.37681159420289856,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_3d,MOMENTUM,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.022816703233807117,0.05462288247424525,0.09857958489729607,Q1,226,140,42,0.7692307692307693,0.23076923076923078,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
return_3d,MOMENTUM,AVAILABLE,fixed DEVELOPMENT_AVAILABLE quartiles Q1-Q4; no cutoff search,0.022816703233807117,0.05462288247424525,0.09857958489729607,Q2,167,83,59,0.5845070422535211,0.4154929577464789,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
