feature_name,category,allowed_for_primary_analysis,missing_count_all_A1,missing_rate_all_A1,N_success,N_failed,mean_success,mean_failed,median_success,median_failed,std_success,std_failed,p25_success,p25_failed,p75_success,p75_failed,difference_in_means,difference_in_medians,standardized_effect_size,rank_biserial_effect,direction,effect_size_band,task_id,source_canonical_head,source_baseline_head,frozen_spec_hash,dataset_authority
true_range_pct,VOLATILITY,True,0,0.0,386,214,0.04148044282472372,0.056790861954424315,0.03608076373289769,0.055459438677431756,0.029134886378438373,0.02808491135307953,0.019310151244964005,0.03315892111623819,0.05973669388904534,0.07448698631963518,-0.015310419129700596,-0.019378674944534068,-0.5322531897909484,-0.3316425354704373,LOWER_IN_SUCCESS,MODERATE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
atr14_pct,VOLATILITY,True,0,0.0,386,214,0.036581991949202176,0.04420846881412914,0.035796576695194204,0.04310538853969259,0.0180599485498531,0.015973735857133752,0.022300198793375404,0.03257286737902004,0.05144376449477765,0.05598390342052314,-0.0076264768649269635,-0.007308811844498386,-0.43967638164733197,-0.24592029441673524,LOWER_IN_SUCCESS,SMALL,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
realized_volatility_20,VOLATILITY,True,0,0.0,386,214,0.027285347852861817,0.03432186670949944,0.024751150291663367,0.032845685860402256,0.016010656677997722,0.01533990349530753,0.013388109527576877,0.023411089041885876,0.040154906315915076,0.047924697350661655,-0.0070365188566376205,-0.00809453556873889,-0.4460546997935751,-0.263812890416929,LOWER_IN_SUCCESS,SMALL,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
range_compression_5_vs20,VOLATILITY,True,0,0.0,386,214,0.038645047993961346,0.10647099876025988,0.024313628313424242,0.07719525108947989,0.23517053698846282,0.2212042494191435,-0.12436224489795919,-0.034280039721946376,0.155164648183365,0.2061121658326755,-0.06782595076629853,-0.052881622776055646,-0.2945201695310884,-0.1737567188029635,LOWER_IN_SUCCESS,SMALL,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
candle_body_range_fraction,CANDLE_REJECTION,True,5,0.007142857142857143,382,213,0.4798418239370826,0.4636381446454335,0.4867595818815331,0.4411764705882353,0.30446592432717573,0.29742101807188226,0.2222222222222222,0.21428571428571427,0.7222222222222222,0.7,0.016203679291649065,0.04558311129329784,0.0536605698211628,0.030835975714671893,HIGHER_IN_SUCCESS,NEGLIGIBLE_OR_UNAVAILABLE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
upper_wick_range_fraction,CANDLE_REJECTION,True,5,0.007142857142857143,382,213,0.22995382781109627,0.2920238431846922,0.16954022988505746,0.26666666666666666,0.2406148854736814,0.24599743539706237,0.0,0.041666666666666664,0.39230418943533696,0.5,-0.06207001537359594,-0.0971264367816092,-0.2559030149834747,-0.16258633827397195,LOWER_IN_SUCCESS,SMALL,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
lower_wick_range_fraction,CANDLE_REJECTION,True,5,0.007142857142857143,382,213,0.2902043482518212,0.24433801216987427,0.23529411764705882,0.18604651162790697,0.2550470483628737,0.2285723240914207,0.06557971014492753,0.058823529411764705,0.4729102167182662,0.35,0.0458663360819469,0.049247606019151846,0.18651691920726887,0.08701423198879144,HIGHER_IN_SUCCESS,NEGLIGIBLE_OR_UNAVAILABLE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
close_location_value,CANDLE_REJECTION,True,5,0.007142857142857143,382,213,0.6890998917425015,0.6038955596460555,0.75,0.625,0.29476587934319215,0.3012260466346942,0.5,0.36363636363636365,1.0,0.8809523809523809,0.08520433209644607,0.125,0.28679486881860305,0.1720989110930855,HIGHER_IN_SUCCESS,SMALL,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
gap_pct,CANDLE_REJECTION,True,0,0.0,386,214,0.009987760492717821,0.013750869722537008,0.005489770707162012,0.00898880943723993,0.02116728599833903,0.024567775239721666,0.0,0.0016134555608239818,0.015040827873819898,0.017679622626798175,-0.003763109229819187,-0.0034990387300779186,-0.16771394168187528,-0.1423538811679822,LOWER_IN_SUCCESS,NEGLIGIBLE_OR_UNAVAILABLE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
rsi14,TECHNICAL_INDICATORS,True,0,0.0,386,214,62.08722146169251,63.29101709082441,62.27512876909721,62.67065048473912,5.853313638233153,5.457984331121088,57.993908472495825,59.24650244080565,65.72907380141335,65.70294307864023,-1.2037956291319034,-0.3955217156419124,-0.21061437865689894,-0.0888576824366859,LOWER_IN_SUCCESS,SMALL,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
