cohort,event_semantics,pretransition_window,horizon,pre_N,pre_outcome_n,pre_endpoint_mean,pre_endpoint_median,pre_mae_mean,pre_mae_median,d0_N,d0_outcome_n,d0_endpoint_mean,d0_endpoint_median,d0_mae_mean,d0_mae_median,pre_minus_d0_mean,pre_minus_d0_median,pre_mae_minus_d0_mean,pre_mae_minus_d0_median,d0_conditioning_disclosure,anti_leakage_status
LEGACY5,CANDIDATE_ONSET,D-3,10,4,4,0.018580749564805096,0.03144829081448291,-0.03929731909313001,-0.03831577433389666,11,11,0.01716091648431178,-0.00796812749003984,-0.08750615404071248,-0.08630952380952381,0.0014198330804933157,0.03941641830452275,0.04820883494758247,0.04799374947562715,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
LEGACY5,CANDIDATE_ONSET,D-2,5,4,4,0.15600956665154345,0.15640614340763687,-0.003900599251225036,-0.011067168169330899,11,11,-0.007913063944112111,-0.01020408163265306,-0.059370859104390335,-0.05764411027568922,0.16392263059565557,0.16661022504028994,0.055470259853165296,0.04657694210635832,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
LEGACY5,CANDIDATE_ONSET,D-2,10,4,4,0.1688567152373906,0.1723999323009224,-0.003900599251225036,-0.011067168169330899,11,11,0.01716091648431178,-0.00796812749003984,-0.08750615404071248,-0.08630952380952381,0.15169579875307881,0.18036805979096224,0.08360555478948745,0.07524235564019291,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
LEGACY5,CANDIDATE_ONSET,D-1,5,2,2,-0.02128149911216895,-0.02128149911216895,-0.08853753447429068,-0.08853753447429068,11,11,-0.007913063944112111,-0.01020408163265306,-0.059370859104390335,-0.05764411027568922,-0.013368435168056839,-0.01107741747951589,-0.029166675369900343,-0.030893424198601457,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
LEGACY5,CANDIDATE_ONSET,D-1,10,2,2,0.11312478748724923,0.11312478748724923,-0.08853753447429068,-0.08853753447429068,11,11,0.01716091648431178,-0.00796812749003984,-0.08750615404071248,-0.08630952380952381,0.09596387100293745,0.12109291497728908,-0.0010313804335781995,-0.002228010664766869,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
LEGACY5,CONFIRMED_TRANSITION,D-3,5,1,1,0.031591737545565005,0.031591737545565005,-0.007290400972053463,-0.007290400972053463,15,15,-0.004439895814498604,-0.019083969465648856,-0.06370151488931022,-0.06950672645739911,0.03603163336006361,0.050675707011213864,0.05641111391725676,0.06221632548534565,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
LEGACY5,CONFIRMED_TRANSITION,D-3,10,1,1,0.06561360874848117,0.06561360874848117,-0.007290400972053463,-0.007290400972053463,15,15,0.06636340497892121,0.022546419098143235,-0.07122829972215554,-0.07268170426065163,-0.0007497962304400391,0.043067189650337935,0.06393789875010207,0.06539130328859816,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
LEGACY5,CONFIRMED_TRANSITION,D-2,5,2,2,-0.05131179011358183,-0.05131179011358183,-0.1307390817469205,-0.1307390817469205,15,15,-0.004439895814498604,-0.019083969465648856,-0.06370151488931022,-0.06950672645739911,-0.04687189429908322,-0.032227820647932975,-0.06703756685761028,-0.061232355289521395,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
LEGACY5,CONFIRMED_TRANSITION,D-2,10,2,2,0.03041513357862742,0.03041513357862742,-0.1482162853943369,-0.1482162853943369,15,15,0.06636340497892121,0.022546419098143235,-0.07122829972215554,-0.07268170426065163,-0.03594827140029379,0.007868714480484186,-0.07698798567218136,-0.07553458113368527,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
LEGACY5,CONFIRMED_TRANSITION,D-1,5,5,5,0.03520618398382067,-0.01020408163265306,-0.0655643146937925,-0.0326530612244898,15,15,-0.004439895814498604,-0.019083969465648856,-0.06370151488931022,-0.06950672645739911,0.03964607979831928,0.008879887832995795,-0.0018627998044822708,0.03685366523290931,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
